,index,taste,temp,freshness,wait,clean,friend,location,parking,view,overall,pca1,pca2,pca3,fa1,fa2,fa3
50,51,7,7,7,3,2,4,9,8,9,6,-1.0199814434985879,-4.2514065605166484,1.53610216505569,-0.5006220713470584,-2.104109168539546,0.7910694206772061
51,52,5,5,5,7,8,7,6,6,7,6,1.9766374170074401,3.4982615903106145,-2.0427820730918227,0.9701542601813586,1.7313550931199164,-1.051992680876315
52,53,6,6,7,5,6,3,7,7,6,6,-0.260952476990046,0.24366372181383028,1.4418853902457884,-0.12807820166198586,0.12060271535888117,0.7425219903402556
53,54,6,8,5,5,6,3,6,6,5,6,-0.2549633491392955,1.573634443569484,2.47389992130903,-0.12514082779160415,0.7788404402953151,1.2739746114009725
54,55,6,7,5,2,2,2,6,7,6,5,0.5344868997418554,-2.0378117609521462,5.362789013772413,0.2623197430452384,-1.0085264472939344,2.7617040409626825
55,56,4,4,3,4,4,3,7,8,8,5,4.606551877943167,-2.0401495799747473,1.7461802693871378,2.2609293113426236,-1.0097005989858434,0.8992525120256013
56,57,5,6,3,5,5,7,8,10,8,6,3.006094990281228,-1.251986932957096,-2.144990358266362,1.475415569218123,-0.6196497959199964,-1.1045942010876668
57,58,4,4,4,5,6,5,8,8,7,6,3.906385964022274,-0.13272611862194994,-0.5401546758440701,1.9172894022161122,-0.06569830619142732,-0.27816088284186735
58,59,5,6,4,5,6,6,6,6,5,5,2.051235812490105,2.880594218454075,0.9946593912163173,1.006762894398811,1.4256674234707691,0.5122110062464786
59,60,6,7,6,7,7,8,6,8,4,6,-0.30639911671523584,4.086495529113156,-1.5950971185480876,-0.15037896089587838,2.022484634604843,-0.8214556309516957
60,61,7,9,7,5,5,5,6,7,6,6,-2.5296210531726144,0.8870522106733747,1.1831651560602252,-1.2415595586912351,0.43903146688649475,0.6092885576166923
61,62,7,7,8,5,6,5,5,7,4,6,-2.100865053889102,2.754526995774699,1.7895328730419833,-1.0311243245884245,1.3632867807982643,0.9215442525485301
62,63,6,6,6,5,5,5,5,5,4,5,0.2244583941524071,3.429642490951735,2.9954058488036512,0.11016145976315783,1.6974192403663366,1.5425305899948722
63,64,7,9,7,3,5,3,8,8,9,6,-2.341731003528037,-3.2789102841049016,0.8466474139977194,-1.149342242352468,-1.622800053526548,0.43601918104495263
64,65,4,5,4,5,6,5,8,8,9,6,3.3579439603847954,-1.2450477994200428,-1.3394947149746923,1.6481120458284082,-0.6162096585626133,-0.6897902593654643
65,66,6,5,6,5,6,5,6,8,5,6,0.9491825447732672,1.544698337841889,0.8067825632256115,0.4658622543856336,0.7645088474056548,0.4154655213538503
66,67,6,7,5,5,5,4,7,8,7,6,0.5217585515884879,-0.7121455623997305,0.705109173668199,0.2560799315768139,-0.35244872830214463,0.3631129563158829
67,68,8,8,10,6,7,5,6,8,7,7,-4.354982784882395,0.8343369496939845,-0.9361568136755183,-2.137459945800748,0.41293568269366365,-0.48210506724610447
68,69,6,6,5,6,7,5,6,7,6,6,0.9545050210148551,2.084498459739572,-0.11767154604170074,0.46847564232543354,1.0316654106709355,-0.060609418109007586
69,70,6,6,5,4,4,4,8,10,8,6,1.2796275736094775,-3.1357496515311594,0.21848638977478382,0.6280458904899262,-1.55194714654871,0.11253460847684989
70,71,6,6,5,4,5,3,7,7,8,6,1.111298973606739,-1.4220953471909625,1.5535751149327046,0.5454277864747656,-0.7038155059405413,0.8000577569290109
71,72,7,8,6,6,6,6,7,7,8,7,-1.2408984629033735,0.5298783770266359,-1.25188759658023,-0.6090450523475273,0.26224416920709476,-0.6446942847569264
72,73,7,8,9,5,6,6,6,6,6,6,-3.2916570144228072,2.086476845330296,0.5170685866250925,-1.615568290566776,1.032643710338269,0.26626256027323075
73,74,7,8,8,7,7,7,6,8,5,7,-2.6421636723157715,3.0434132002600904,-1.519412705222759,-1.2967911792169915,1.5062465548908373,-0.7824791478235394
74,75,7,7,8,5,5,7,8,8,8,7,-1.8318267954997203,-0.5568172312763954,-1.5349363288058102,-0.8990742290873297,-0.2755938507930792,-0.7904476357897134
75,76,6,8,7,5,6,5,7,6,8,6,-1.4405836765297422,0.3240484870945032,-0.038320617493492214,-0.7070447817672584,0.16037799665596617,-0.019738276170643082
76,77,6,7,8,6,7,8,6,7,6,6,-1.5806930319361394,3.1450884074304195,-1.683291627788962,-0.7758080011991408,1.55656088799688,-0.8668624132197676
77,78,5,5,5,5,6,6,5,6,3,5,1.9165694979322805,4.350429969889645,2.077213598137012,0.9406669486754871,2.1531271683758426,1.0696889237479303
78,79,6,7,7,5,4,4,7,9,8,6,-0.6805207469994267,-2.102503342771826,0.4331786310886284,-0.3340040267367734,-1.0405617333820856,0.22308318946113811
79,80,5,5,5,5,5,4,5,7,4,5,2.007675459518968,2.2249616103078953,2.840781925520576,0.9853802165181609,1.1012012418995647,1.4629132647247527
80,81,5,6,5,5,6,5,7,8,7,6,1.558443089889939,0.10774934808728986,-0.27872785267710043,0.7648993458168377,0.05332568965295941,-0.1435342023692169
81,82,6,6,6,6,8,8,7,7,8,7,0.3578763831406829,2.1367814363197053,-3.2166054402888116,0.17565263042464088,1.0575164179649243,-1.6564667959055104
82,83,6,7,6,5,5,3,8,9,8,6,-0.02777827155314556,-2.4938234160074777,0.16610052398140515,-0.013634437795803707,-1.2342407234738701,0.08554372244412996
83,84,6,7,6,3,3,2,6,7,5,5,-0.16906484734055435,-0.8853617462491149,4.8706702654786875,-0.08298531935613321,-0.43815614869796266,2.508263426815747
84,85,6,7,6,4,4,5,7,8,7,6,-0.09008203493077822,-0.9837312331961731,1.0599075105871671,-0.044214544835324505,-0.48686464349649705,0.5458313641052158
85,86,6,7,5,5,5,6,6,6,5,6,0.36785864410135305,2.428254597571882,1.4607469825800499,0.18054486708065673,1.2017994662138338,0.7522311110157952
86,87,6,8,5,3,4,3,8,10,8,6,0.0938734490503064,-3.892848456777869,1.0824266687530477,0.046070705405493434,-1.9266479295362497,0.5574454774159928
87,88,5,4,5,5,7,5,7,8,8,6,2.7403246459461754,0.012341423039447422,-1.1360266969775084,1.344973553884395,0.0061014396269037895,-0.5850133631555149
88,89,7,8,7,5,5,5,6,6,5,6,-1.9912449910249896,1.9202951485560462,1.9299155270694093,-0.9773225751916961,0.9504051103011402,0.9938363657240449
89,90,7,7,8,5,6,5,6,7,7,6,-1.993100121104947,0.769830460090064,0.31281120420259584,-0.9782310524078182,0.3810114157625776,0.16108547280848157
90,91,4,5,2,6,7,7,8,8,8,6,4.587810073070624,0.7515819221699837,-2.801836795445444,2.2517382661914755,0.3719525669190037,-1.4428653612344016
91,92,5,5,5,6,7,5,5,6,5,5,1.9297276195145918,3.52995605547616,0.9223918913327598,0.9471261712059642,1.7470598348697095,0.47498904877649717
92,93,7,9,7,4,5,2,8,9,8,7,-2.3334872506597315,-3.3056228084706274,1.0199419043844646,-1.1452964703722563,-1.636013894711651,0.5252524735829752
93,94,5,5,4,5,6,5,8,9,8,6,2.893415671315802,-1.1988558181855924,-1.2839488378712367,1.4201112730086936,-0.5933485367584516,-0.6611868847276045
94,95,4,4,3,4,5,2,8,10,8,5,4.680743771432202,-3.365371752589484,0.7842581286375067,2.2973443921782644,-1.6655874198650333,0.40389471465898164
95,96,7,7,6,4,4,3,8,8,8,6,-0.5009254795596183,-2.70980700116791,1.3824989679065502,-0.24586704367709625,-1.341133671673998,0.7119581935347106
96,97,5,6,8,6,7,6,7,10,8,7,-0.32367371018540486,-0.37639320665839676,-2.7704083319228627,-0.1588483898655159,-0.18629282944292988,-1.4266777439417344
97,98,6,7,6,5,4,6,8,9,8,6,-7.644100158886115e-05,-1.6812791831287126,-0.8594241915501348,-3.65472137259954e-05,-0.8321056023239132,-0.4425716113044573
98,99,5,4,5,5,6,6,6,7,4,5,2.606181455369575,3.022010978081295,1.0589375053856542,1.2791331740832024,1.495657140866571,0.5453123173676301
99,100,5,6,4,4,3,4,6,7,6,5,2.208891666492582,-0.23957821407106517,3.119333757241913,1.0841369233715255,-0.11855254313616402,1.6063748648614409
100,101,6,6,7,4,5,4,6,6,5,5,-0.321924234268946,1.3643867894848396,2.8403867042758963,-0.15800539740751632,0.6752765335402241,1.462712761895212
101,102,7,8,8,5,5,5,6,6,7,6,-2.589927455961945,0.8282355633461183,1.1298921571841254,-1.2711578290733574,0.4099218616006542,0.5818548985419447
102,103,5,5,4,5,6,6,7,6,5,5,2.6841036693859324,2.543342243404763,0.7107618926715835,1.3173782990158822,1.2587471346075807,0.36601037461012076
103,104,6,7,6,4,4,4,7,8,6,6,-0.11208910835785227,-0.8379774684992384,1.958085969175544,-0.055016857492573734,-0.414723181491215,1.0083632655791799
104,105,6,5,6,6,6,4,6,7,5,6,0.9139553351360592,1.8949512074825507,1.268381848533511,0.44857205663827593,0.9378633121087835,0.6531644486394771
105,106,5,5,5,5,6,5,7,6,6,6,2.063414131021903,1.59703642289177,0.8089169813746763,1.0127407324769717,0.7904053479123767,0.4165608089019845
106,107,7,6,6,6,8,6,6,7,6,6,-0.19847968847904732,2.774730100205549,-1.1210230387827471,-0.09742074092462537,1.3732669484548594,-0.5773087217361996
107,108,6,7,5,5,5,6,7,7,8,6,0.5090285979011687,-0.012486075034561325,-0.35686914930193037,0.24983373610066803,-0.006181913666624598,-0.1837748718881024
108,109,7,8,6,7,7,8,8,9,7,7,-1.1971958619566245,1.1914642775291635,-3.718398093597904,-0.5875914415470423,0.589658569171695,-1.9148841059971553
109,110,6,5,6,7,8,6,8,8,8,7,1.0236590785293551,0.8483249419271431,-3.215998252186486,0.5024219422671539,0.41983630231929087,-1.6561597766900693
110,111,7,9,8,5,7,5,6,6,5,6,-3.295121475398159,2.5675316269811868,0.9273721092266342,-1.6172693301941166,1.2707287329109849,0.477552496472674
111,112,6,6,7,3,4,2,7,6,6,5,-0.22332140477090417,-0.9679431772071957,4.032569724513798,-0.1096126138754161,-0.47903828337741927,2.0766632468082085
112,113,6,6,7,3,4,2,7,8,6,5,-0.15651136273958313,-1.8800314510508127,3.350780798428612,-0.07682142019660666,-0.930450313066963,1.7255688404805098
113,114,7,8,8,5,6,6,7,9,6,7,-2.508333633180522,0.36083036392739365,-0.7888289702927578,-1.2311081979375338,0.17857727327006534,-0.4062275901961708
114,115,7,9,7,4,3,5,8,9,8,7,-2.27408757126042,-2.8486416881339833,0.4829754555944218,-1.1161419553261298,-1.4098504377998273,0.24873119576741218
115,116,7,7,9,4,5,4,5,5,4,6,-2.7768516702422237,2.6162913685412827,3.835508790894828,-1.3629041720913915,1.2948783717013947,1.9751633264533017
116,117,5,5,4,6,8,6,9,9,9,7,2.8866205465338215,-0.7292334061120818,-3.839502610448939,1.4167804248627898,-0.36094015226482845,-1.9772307688394761
117,118,6,7,7,6,7,7,6,6,5,6,-0.9907445023903054,3.7687001345846314,-0.43116359860077064,-0.4862602089116546,1.8652041659447958,-0.22205938456004154
118,119,5,6,5,4,5,5,8,10,8,6,1.7211919492218373,-2.357930662167772,-0.7777224133730759,0.844777500439767,-1.166996633362167,-0.40048438357165994
119,120,6,8,7,6,7,6,7,7,8,7,-1.443362705180849,0.8965144257142595,-1.7564571798609658,-0.708406232887836,0.4436966194997456,-0.9045340709334788
120,121,6,7,6,5,5,5,7,7,9,6,-0.1116609404628602,-0.9587918955475546,-0.2587140605988378,-0.05480383043824216,-0.4745237003618286,-0.13322443759623875
121,122,5,6,4,4,4,5,6,6,7,5,2.1657958700562405,0.42627527069592985,2.0734914949546326,1.062987014725321,0.21098367394145962,1.0677961106183023
122,123,5,5,4,6,6,6,10,10,9,7,3.0211689594517264,-2.2757316642910776,-3.499549815355832,1.4828168709571798,-1.1263336892176175,-1.802162325137045
123,124,5,6,6,7,7,9,7,9,5,6,0.8564750651821726,3.180332414126072,-3.1210237477058076,0.4203754989257264,1.57399345604398,-1.6072571734474819
124,125,6,6,6,4,5,3,7,7,6,6,0.4192601905665571,-0.37366341305197115,2.327488269703545,0.20577163678814633,-0.18492385943577824,1.1985913760672848
125,126,6,7,6,5,6,5,7,7,7,6,-0.1900369483622282,0.467016976669026,0.03969593498772795,-0.09327090280476998,0.23113541147892955,0.020439049630924536
126,127,7,7,8,4,4,4,5,5,5,6,-2.0764541178800937,1.7474192016974002,3.9436380340295156,-1.0191466218919631,0.8648587847598104,2.0308525348281457
127,128,7,8,7,4,3,5,6,6,4,6,-1.9480341781350066,1.4607139554498854,3.6845056968754726,-0.9561170380128948,0.7229547939717976,1.897404654942279
128,129,5,6,6,5,6,5,6,6,6,6,0.7851856501375084,1.9124745724056138,1.0797593723621883,0.38537962607576076,0.9465298356777034,0.5560375165164292
129,130,6,7,5,4,4,3,9,10,9,6,0.7469261907516598,-4.481645463805263,0.021055533885244313,0.3665938217718607,-2.218061230546364,0.010864668427449082
130,131,7,8,8,6,7,6,7,7,8,7,-2.5633175597282642,0.8418138384978203,-1.76655607843617,-1.2580930803798558,0.4166242312495054,-0.9097361887337764
131,132,7,8,7,5,6,6,5,4,5,6,-2.128832582209533,3.956643546255025,1.9147211343360464,-1.0448509049554324,1.958235259656598,0.9860060512246162
132,133,6,7,6,3,3,2,6,7,6,5,-0.14572576781474764,-1.4204846260863446,4.477186134314656,-0.07153009540489362,-0.7029998724992749,2.3056346552356533
133,134,7,8,7,5,6,4,9,10,9,7,-1.681391348987938,-3.216162609597117,-1.8802706151161193,-0.8252402042185136,-1.5917570227363416,-0.9682758542901823
134,135,7,10,7,5,6,5,6,7,7,7,-3.133099985183654,0.6654165222546325,0.2887509813521375,-1.537748763494227,0.3293355025547548,0.14869389674016503
135,136,6,7,6,5,7,6,7,8,8,6,-0.1663227027672483,0.22078218759240387,-1.6879352533847383,-0.08162961777216476,0.10925959886700953,-0.8692341109399124
136,137,4,5,2,5,8,4,8,9,9,6,4.620006537780814,-1.335707175326968,-2.1267011689614894,2.267538708601985,-0.6610830045314245,-1.0951745964576647
137,138,7,8,7,5,7,3,8,8,8,7,-1.8396540075008228,-1.4234295623414994,-0.4925922218367599,-0.9029179353455088,-0.7044876731716326,-0.25367113742177655
138,139,7,7,8,4,5,3,5,6,5,6,-2.0734149396134556,1.2575690621774174,3.6188796316697713,-1.017654738222617,0.6224221723571421,1.8636144056251427
139,140,5,7,6,5,5,7,7,9,7,6,0.3804011608782293,0.010990582244849556,-1.1658795881866693,0.1867122384579874,0.005432828295691393,-0.6003893667731057
140,141,5,5,4,4,5,5,7,7,6,5,2.7770318195941672,0.52366515110416,1.3536253977898403,1.3629861677665087,0.25917275827294545,0.697082991465165
141,142,7,7,6,6,7,5,6,6,6,6,-0.7939750172373125,2.443766088321308,0.20075224162312785,-0.38969460629617425,1.2094751324969055,0.10336383389113396
142,143,7,9,6,6,7,7,6,6,6,7,-1.9868793548129615,3.1383524763546324,-0.8333799668306832,-0.9751760374645211,1.5532318465518435,-0.4291860926234265
143,144,5,5,4,4,5,3,8,8,8,6,2.897526706065642,-2.160690871945644,0.9388820519205826,1.4221256354232616,-1.069369421398261,0.48351203992910174
144,145,6,7,7,6,7,5,8,8,7,7,-0.7990969006964357,0.24897207844007352,-1.4830706828599154,-0.39219754408860946,0.12321177779706739,-0.7637500042597215
145,146,5,6,6,5,6,5,6,7,6,6,0.8185906711531689,1.4564304354838054,0.7388649093195956,0.4017752229151653,0.7208238208329316,0.38049031335258027
146,147,8,10,8,4,6,4,8,8,8,7,-4.116329149957121,-1.8120538370661792,-0.15958122954089451,-2.020329166045894,-0.8968279850554862,-0.08217459013764794
147,148,6,7,7,6,7,6,9,10,7,7,-0.6958711705571122,-0.6530749764361935,-2.96582321171674,-0.34153166137690244,-0.32324218372819563,-1.5273200054810574
148,149,8,8,7,5,6,5,7,7,8,7,-2.3563671166317754,-0.19776917318924708,-0.3733026625720502,-1.1565314763436132,-0.09788119249356289,-0.1922418668912611
149,150,5,6,5,5,6,6,7,9,6,6,1.5671770252810606,0.5761972061430064,-0.7308325119800074,0.7691868074110128,0.28516566040553004,-0.37635576384684266
150,151,5,5,5,4,5,3,8,9,8,6,2.285571103092734,-2.638548834402921,0.584932481320768,1.1217755304785262,-1.3058712373408945,0.3012409127433397
151,152,6,7,5,6,6,5,8,10,8,7,0.613471317685583,-1.5101745367119577,-2.043675258253192,0.30109690157376834,-0.747424037736199,-1.052431278190663
152,153,7,9,7,6,6,5,7,9,8,7,-2.4132372014509795,-0.8354687586163777,-1.4544090796008518,-1.1844344534490505,-0.4134898281449021,-0.7489813185760769
153,154,5,6,5,6,6,5,9,10,9,7,1.7442724846660633,-2.3496626299175287,-2.7240130969439744,0.8561086758499588,-1.162911463248321,-1.4027824876287298
154,155,5,5,6,4,4,6,9,10,8,6,1.7390650248781179,-2.683190460154378,-1.0908110801578803,0.8535509164427563,-1.3279821257653206,-0.5617180131907773
155,156,5,5,5,4,5,4,8,8,9,6,2.2741731555041476,-2.328258462178047,0.027648485774984053,1.1161822462963709,-1.1523066845014047,0.014256214433224685
156,157,7,7,8,6,6,7,7,8,7,7,-1.9277656128002971,0.9967745051350492,-1.7177306941950203,-0.9461611900314496,0.4933164425325037,-0.8845918609149683
157,158,7,7,6,3,5,3,8,7,7,6,-0.58621323422856,-1.6466547197258987,2.0123088005307164,-0.2877269767298458,-0.8149629804441675,1.036291518117722
158,159,6,6,6,5,7,6,9,8,8,7,0.5042928483353136,-0.4957976836298535,-2.268102027276766,0.2475133871717943,-0.2454048836279285,-1.1680072075760382
159,160,4,6,3,4,4,5,7,8,6,5,3.3669693813159056,-0.2753174322669636,1.4990163232613885,1.652537432271799,-0.13625643732828135,0.7719601286712277
160,161,7,6,8,5,6,7,8,9,8,7,-1.2349994606427226,-0.6152223345324497,-2.3520172817873397,-0.6061474524217907,-0.3045042966311558,-1.2112170615231765
161,162,6,7,8,4,4,5,6,7,5,6,-1.4986341571819235,0.878258908502104,2.457929296190673,-0.7355395934723765,0.4346814103869259,1.2657607273851936
162,163,7,7,6,6,9,7,8,9,9,7,-0.6143070370924154,0.201473701063135,-4.581427280023015,-0.30150601478654365,0.09968538136348204,-2.3593033919940174
163,164,6,8,6,4,5,3,8,8,8,6,-0.6531492605376177,-2.363433048068451,0.8786127153804765,-0.32057032672344815,-1.1697093250520472,0.4524704980166615
164,165,6,7,6,5,6,5,8,8,6,6,-0.1422233126656394,0.16676782341150204,-0.20398367223812744,-0.06980292958971689,0.08252892680372027,-0.10505184695259855
165,166,7,8,6,3,4,3,8,8,8,6,-1.09289144752843,-3.0354607701506917,1.7541166962630292,-0.5364073357653358,-1.5023082880969467,0.9033377659433934
166,167,5,4,5,4,4,5,8,9,10,6,2.956403261483728,-3.2435435552152776,-0.7104943923119288,1.4510245845472558,-1.6053019208210304,-0.36585700090815454
167,168,7,7,8,5,7,5,7,7,8,7,-1.9637111962201599,0.21094279662200976,-0.8655004690502259,-0.9638048525937394,0.10439516256764934,-0.44570981970440376
168,169,6,7,7,5,6,4,7,8,8,6,-0.7773214657105963,-0.9353329807657758,-0.20304343935177224,-0.3815128725042754,-0.46291239006104623,-0.1045577192410608
169,170,6,6,6,5,6,6,9,10,10,7,0.6494788982660027,-2.8336948296900513,-3.248300948948517,0.3187716532171315,-1.4024760251582302,-1.6727651011308993
170,171,6,7,5,4,5,2,7,6,6,6,0.43742763694910564,-0.3272504868586228,3.1737603909251457,0.21468684873668895,-0.16194821005773652,1.6343937997835079
171,172,5,6,5,1,2,1,6,6,9,4,1.6452997113705672,-3.785120543736867,5.42133048372684,0.8075191915535495,-1.8733040853825769,2.791869492194009
172,173,6,5,6,4,4,4,8,10,8,6,1.229387112310001,-3.115487555942994,0.21780305902012218,0.6033879929959691,-1.5419190428780103,0.11218251781834668
173,174,5,5,5,5,6,4,8,10,10,6,2.32947023349324,-3.136328655457624,-1.920172343374768,1.1433245272604273,-1.5522400620997394,-0.9888124251796833
