SubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,Fireplaces,GarageYrBlt,GarageCars,GarageArea,YrSold,SalePrice,index
20,63,12680,7,6,1988,1675,1688,0,0,1688,1,1988,2,528,2008,226500,117
190,107,10615,3,5,1900,978,1014,685,0,1699,0,1920,2,420,2009,95000,118
60,65,12257,8,5,1995,1318,1328,1203,0,2531,1,1995,3,752,2007,290000,119
80,78,11679,5,5,1962,1776,1560,0,0,1560,1,1962,2,528,2006,182000,120
90,83,10126,6,5,1997,1838,1838,0,0,1838,0,1998,3,721,2008,185000,121
60,85,13600,7,6,1965,768,1186,800,0,1986,3,1965,2,486,2009,205000,123
70,60,3600,5,7,1930,687,687,671,0,1358,1,2004,1,336,2007,124500,126
160,24,2280,6,5,1999,744,757,744,0,1501,1,1999,2,440,2007,176500,128
20,60,8172,4,5,1955,768,768,0,0,768,1,1959,1,355,2007,125000,129
70,100,9670,8,6,1935,608,983,890,0,1873,2,1935,2,786,2008,257076,131
60,71,7795,7,5,2004,716,716,716,0,1432,1,2004,2,432,2009,188500,134
30,60,10914,3,3,1929,715,715,0,0,715,0,1967,2,660,2006,68000,135
80,76,11800,4,7,1949,0,1382,0,0,1382,1,1957,1,384,2007,110000,136
70,80,4800,5,5,1910,680,680,680,0,1360,0,1910,1,330,2008,111000,137
160,21,1680,6,5,1971,483,483,504,0,987,0,1971,1,264,2008,85400,140
50,50,7500,6,6,1947,784,900,412,0,1312,0,1953,2,649,2006,127000,143
50,56,14720,8,5,1995,2033,2053,1185,0,3238,1,1996,3,666,2010,410000,145
50,60,9780,5,3,1934,585,687,425,0,1112,0,1934,1,226,2009,63000,146
20,60,7200,4,4,1971,864,874,0,0,874,0,1995,2,576,2006,97500,147
180,35,3675,6,5,2005,547,1072,0,0,1072,0,2005,2,525,2007,140000,148
20,75,9375,4,5,1954,967,1350,0,0,1350,1,1954,2,504,2006,146000,149
50,57,9184,5,7,1948,780,948,375,0,1323,0,1948,2,400,2008,122600,150
20,69,23580,6,6,1979,1625,1625,0,0,1625,1,1979,2,576,2006,242500,151
20,60,7038,4,6,1970,864,864,0,0,864,0,2001,2,576,2009,76500,155
50,59,16466,5,7,1955,816,872,521,0,1393,0,1955,1,300,2008,135500,157
60,62,7162,7,5,2003,796,806,918,0,1724,1,2003,2,616,2006,196500,158
60,90,9900,7,5,1993,1347,1372,1274,0,2646,1,1993,3,656,2009,260000,159
70,53,10918,7,9,1926,1276,1276,804,0,2080,2,1926,1,282,2009,234000,160
30,60,10200,4,6,1925,572,572,0,0,572,0,1940,1,200,2009,75000,165
80,75,13860,8,7,1972,1952,2000,704,0,2704,3,1972,2,538,2009,345000,167
120,55,7892,6,5,1993,1199,1199,0,0,1199,0,1993,2,530,2008,153900,170
60,60,8238,6,5,1997,813,813,712,0,1525,1,1997,2,400,2006,183500,171
180,21,1526,4,8,1970,630,630,0,0,630,0,1970,1,286,2009,86000,172
120,60,7313,9,5,2005,1561,1561,0,0,1561,1,2005,2,556,2007,277500,175
20,80,8400,6,9,1962,1319,1537,0,0,1537,1,1962,2,462,2008,174000,176
160,21,1890,4,3,1976,546,546,546,0,1092,0,1976,1,286,2007,75190,177
85,73,9069,6,6,1992,936,996,0,0,996,0,1992,2,564,2010,147000,181
160,24,1733,6,6,1980,516,516,516,0,1032,1,1980,2,452,2009,115000,185
20,71,8540,5,8,1956,925,925,0,0,925,0,1956,1,252,2007,127000,188
160,21,1680,6,7,1972,672,672,546,0,1218,0,1972,1,264,2006,118000,189
20,70,16561,5,5,1996,1097,1097,0,0,1097,0,1996,1,242,2007,147900,191
20,70,7931,5,6,1960,1269,1269,0,0,1269,1,1964,1,308,2008,155000,192
60,93,12090,8,5,1998,1141,1165,1098,0,2263,1,1998,2,420,2006,258000,193
20,62,10447,5,6,1984,864,887,0,0,887,0,1984,1,288,2007,124500,194
60,60,7500,6,5,1999,938,957,1342,0,2299,1,1999,2,482,2007,204000,198
20,73,17227,8,5,1999,1341,1341,0,0,1341,1,1999,2,482,2007,246900,199
50,68,9724,5,7,1952,1140,1929,532,0,2461,2,1994,2,400,2010,197600,200
80,120,13200,6,6,1963,741,1497,797,0,2294,1,1963,2,658,2007,202500,204
60,76,9120,6,6,1974,901,943,933,0,1876,1,1974,2,540,2008,185000,206
120,48,5911,9,5,2005,1560,1565,0,0,1565,1,2005,2,556,2006,282500,207
50,89,11792,4,5,1948,744,792,328,0,1120,0,1956,2,480,2010,64000,209
50,66,8712,4,7,1900,859,859,319,0,1178,0,1964,1,384,2010,102776,210
20,70,9100,5,4,1962,988,988,0,0,988,0,1977,2,624,2006,129500,212
20,109,8724,5,5,1968,894,894,0,0,894,1,1968,2,450,2007,129000,214
60,74,9056,8,5,2004,707,707,707,0,1414,1,2004,2,403,2006,178000,218
20,77,10010,5,5,1974,1389,1389,0,0,1389,1,1975,2,418,2006,170000,222
20,60,7200,5,7,1972,780,780,0,0,780,0,1973,1,352,2008,124900,226
85,75,9750,6,6,1977,902,926,0,0,926,1,1977,1,351,2009,156450,227
60,57,8918,6,5,2005,745,745,745,0,1490,1,2005,2,392,2009,167800,230
50,60,10890,5,5,1938,1058,1058,493,0,1551,0,1938,1,240,2006,137000,232
20,73,11927,8,5,1994,1556,1592,0,0,1592,1,1994,2,484,2007,228000,233
20,80,10800,5,7,1960,1248,1248,0,0,1248,0,1960,1,286,2006,151500,237
60,134,16659,8,5,2007,1582,1582,570,0,2152,1,2007,2,728,2007,260116,238
60,85,14191,8,5,2002,967,993,915,0,1908,0,2002,2,431,2010,202900,241
20,94,12883,8,5,2009,1544,1544,0,0,1544,0,2009,3,868,2010,290941,242
60,63,8402,6,5,1998,789,789,676,0,1465,1,1998,2,393,2010,180400,243
160,21,1680,5,5,1972,630,630,672,0,1302,0,1972,1,264,2008,111750,244
50,60,9600,6,8,1900,780,940,476,0,1416,0,1956,2,400,2006,156500,245
120,44,6371,7,5,2009,1358,1358,0,0,1358,1,2010,2,484,2010,224000,248
120,50,7175,6,5,1984,744,752,0,0,752,0,1984,1,264,2010,125000,252
120,53,3922,7,5,2006,1258,1258,0,0,1258,1,2007,3,648,2007,172500,253
50,76,11388,4,7,1910,616,1055,218,0,1273,0,1910,1,275,2006,121000,255
160,24,1612,6,6,1980,561,561,668,0,1229,1,1980,2,462,2009,121000,259
30,60,10800,3,5,1890,630,725,0,0,725,0,1959,1,320,2009,78500,264
80,56,8872,6,5,1997,384,754,630,0,1384,1,1997,2,390,2007,161500,268
160,35,4017,7,5,2006,625,625,625,0,1250,0,2006,2,625,2008,171900,270
20,60,7200,5,8,1972,864,864,0,0,864,0,1977,1,297,2006,119900,271
45,50,5000,5,6,1941,720,803,0,0,803,0,1941,2,360,2007,87000,273
20,74,11563,8,5,2006,1518,1537,0,0,1537,0,2007,3,788,2008,294000,276
80,72,9720,5,7,1977,995,1009,0,0,1009,1,1977,2,576,2007,160000,277
20,63,7560,5,5,1971,864,864,0,0,864,0,1977,2,576,2008,123000,280
160,30,3180,7,5,2005,600,520,600,80,1200,0,2005,2,480,2006,151000,281
20,80,11600,6,5,1960,1383,1383,0,0,1383,0,1960,1,292,2006,145250,282
20,61,33983,5,6,1977,1160,1676,0,0,1676,2,1977,2,672,2007,196000,285
60,65,10237,6,5,2005,783,783,701,0,1484,1,2005,2,393,2007,178900,288
60,62,10429,5,5,1992,624,624,663,0,1287,0,2001,2,440,2009,130000,290
20,93,12030,8,5,2007,1694,1694,0,0,1694,0,2007,3,818,2007,318000,291
160,24,2645,8,5,1999,776,764,677,0,1441,0,1999,2,492,2007,174000,292
60,83,10005,7,5,1977,1160,1156,866,0,2022,1,1977,2,505,2008,192000,293
20,85,11050,6,5,1968,1740,1740,0,0,1740,1,1968,2,512,2008,150000,295
30,60,4800,5,4,1940,672,672,0,0,672,0,1950,1,256,2008,64000,296
60,70,8750,7,5,1994,915,933,975,0,1908,1,1994,2,493,2008,210000,299
190,80,8800,6,7,1965,1187,1565,0,0,1565,2,1965,1,299,2006,185900,302
160,30,3180,6,5,2005,600,600,600,0,1200,0,2005,2,480,2008,165000,303
50,60,5520,5,7,1920,565,565,651,0,1216,1,1920,1,355,2008,115000,305
20,75,9750,6,6,1958,1442,1442,0,0,1442,0,1958,1,301,2007,157900,306
190,68,10880,5,5,1950,1164,1164,0,0,1164,0,1950,1,240,2008,125000,307
60,85,11069,6,5,2007,608,608,788,0,1396,1,2007,2,440,2009,170000,309
20,107,13891,8,5,2007,1710,1710,0,0,1710,1,2007,3,866,2008,372402,310
90,75,8235,5,4,1977,1949,1949,0,0,1949,0,1977,2,586,2006,157000,311
20,76,6950,5,7,1979,914,914,0,0,914,0,1979,2,444,2009,134900,312
20,59,10593,7,5,1996,1720,1720,0,0,1720,1,1996,2,527,2010,260400,314
120,60,8147,9,5,2005,1714,1714,0,0,1714,1,2005,2,517,2006,318000,316
60,75,9000,8,5,2007,1184,1184,1426,0,2610,1,2007,2,550,2007,303477,317
20,80,9650,6,5,1977,1350,1334,0,0,1334,1,1977,2,630,2009,167900,318
20,98,16033,9,5,2004,1833,1850,0,0,1850,1,2004,3,772,2006,326000,319
45,60,9000,6,3,1928,784,784,0,0,784,0,1950,2,360,2009,76000,320
30,50,9340,4,6,1941,672,672,0,0,672,0,1941,1,234,2009,113000,321
60,70,8749,7,5,2003,979,992,940,0,1932,1,2003,2,610,2007,213000,323
20,70,9135,6,5,2003,1682,1700,0,0,1700,0,2003,2,544,2006,200000,327
60,60,21930,5,5,2005,732,734,1104,0,1838,1,2005,2,372,2006,192140,329
20,79,11850,6,6,1984,1153,1177,0,0,1177,0,1984,2,495,2007,151500,330
20,96,12456,10,5,2006,1700,1718,0,0,1718,1,2008,3,786,2009,337500,332
160,24,2645,8,5,1999,960,962,624,0,1586,0,1999,2,480,2008,170000,337
80,67,13300,7,5,2004,384,744,630,0,1374,1,2004,2,400,2010,184500,339
30,60,10800,5,6,1920,1120,1130,0,0,1130,1,1970,2,720,2006,120000,340
20,70,9100,7,5,2000,1525,1525,0,0,1525,0,2000,2,541,2006,235000,342
20,62,14299,4,3,1964,1005,1005,0,0,1005,0,1964,2,440,2007,115400,344
20,80,8240,6,6,1960,1179,1179,0,0,1179,0,1960,2,622,2007,110000,347
30,56,3153,5,6,1920,967,967,0,0,967,1,1920,1,180,2007,99900,350
50,50,6000,6,7,1929,862,950,208,0,1158,1,1929,1,208,2008,120000,351
60,64,9045,5,5,2005,768,768,768,0,1536,0,2005,2,400,2007,167000,355
20,74,7400,7,6,1962,1045,1045,0,0,1045,0,1962,2,528,2006,120000,356
30,60,10230,5,7,1925,1054,1078,0,0,1078,0,1987,1,264,2009,125000,359
20,75,8100,5,8,1961,864,864,0,0,864,1,1962,1,420,2008,135000,360
60,43,11492,7,5,1996,913,913,1209,0,2122,1,1997,2,559,2009,220000,361
20,65,8125,6,5,1994,1408,1679,0,0,1679,1,1994,2,575,2008,193500,363
50,53,5362,5,6,1910,661,661,589,0,1250,1,1985,2,552,2007,139000,365
60,85,11050,8,5,1998,1049,1036,880,0,1916,1,1998,3,741,2010,254900,366
160,24,2160,7,5,1999,600,624,628,0,1252,0,1999,2,462,2008,160000,367
160,68,13108,8,5,1994,2062,2079,608,0,2687,0,1994,2,618,2006,270000,368
50,60,7500,4,4,1920,698,698,430,0,1128,0,1980,2,528,2010,68400,371
20,60,7200,5,3,1950,864,1238,0,0,1238,1,1950,1,357,2007,102000,372
20,70,13300,5,5,1956,1015,1384,0,0,1384,0,2001,2,896,2006,159000,374
20,80,10197,6,5,1961,1362,1362,0,0,1362,1,1961,2,504,2008,163000,381
20,85,10625,8,5,2007,1660,1660,0,0,1660,1,2007,3,660,2008,256000,382
20,85,10625,7,5,2006,1652,1662,0,0,1662,1,2006,3,711,2009,291000,383
20,85,11447,8,5,2005,1964,1964,0,0,1964,1,2005,3,892,2008,370000,384
20,120,13560,6,3,1968,1392,1392,0,0,1392,2,1968,2,576,2009,110000,385
70,60,11414,7,8,1910,728,1136,883,0,2019,0,1997,2,532,2009,167500,387
190,70,13587,5,5,1958,988,988,0,0,988,0,1958,1,264,2010,119000,391
30,51,6120,5,6,1925,960,995,0,0,995,0,1926,1,264,2009,115000,392
20,73,8760,6,7,1957,936,936,0,0,936,0,1957,1,315,2007,141000,395
20,60,12450,5,5,2003,1094,1094,0,0,1094,0,2004,2,576,2007,149000,397
20,68,8736,7,5,2003,1553,1553,0,0,1553,0,2003,2,588,2009,234500,398
20,95,12350,9,5,2008,2020,2020,0,0,2020,1,2008,3,896,2009,404000,401
20,78,9360,6,7,1968,976,976,0,0,976,1,1968,2,504,2006,157500,402
20,75,11310,6,5,1954,1367,1375,0,0,1375,1,1954,2,451,2006,140000,403
50,63,11426,7,5,2003,1362,1362,720,0,2082,0,2003,2,484,2008,200000,405
60,106,12720,8,5,2000,1455,1466,1221,0,2687,2,2000,3,810,2009,327000,408
20,74,12395,5,6,1984,864,889,0,0,889,0,1984,2,484,2008,137500,409
20,149,19958,6,8,1958,585,2279,0,0,2279,1,1958,2,461,2007,257000,410
20,80,9605,7,6,2007,1218,1218,0,0,1218,0,2007,2,576,2009,159000,411
50,68,4080,6,8,1935,901,861,517,0,1378,0,1920,1,162,2009,128900,412
20,80,9600,6,6,1958,1240,1632,0,0,1632,1,1958,1,338,2009,139000,415
85,80,8800,6,7,1963,936,1054,0,0,1054,0,1963,2,480,2010,137500,417
60,100,12191,8,5,1997,1779,1779,772,0,2551,2,1998,3,925,2007,384500,418
160,30,3180,7,5,2007,689,703,689,0,1392,0,2007,2,540,2008,146000,420
20,80,8800,7,6,1966,1174,1200,0,0,1200,1,1966,2,440,2007,163500,421
60,93,10261,6,5,2000,936,962,830,0,1792,1,2000,2,451,2008,186500,422
120,50,9466,8,5,1994,1494,1494,0,0,1494,1,1994,2,478,2007,279700,423
20,66,7742,5,7,1966,955,955,0,0,955,0,1966,1,386,2007,127000,428
20,75,8250,6,7,1964,1092,1092,0,0,1092,0,1964,2,504,2008,145000,429
20,79,14122,8,5,2005,1822,1822,0,0,1822,1,2005,3,678,2010,259000,430
50,52,6240,5,8,1939,672,899,423,0,1322,0,1939,1,280,2007,132000,435
50,60,9120,7,6,1925,1026,1133,687,0,1820,0,1925,1,240,2008,184000,437
20,73,7100,5,7,1957,816,816,0,0,816,0,1957,1,308,2006,129900,438
60,65,8461,6,5,2005,728,728,728,0,1456,1,2005,2,390,2006,163990,439
60,73,9801,8,5,2007,1341,1341,520,0,1861,1,2007,3,851,2008,257000,441
60,107,13891,9,5,2008,1734,1734,1088,0,2822,1,2009,3,1020,2009,582933,443
20,85,11049,8,5,2007,1234,1234,0,0,1234,0,2007,2,484,2008,179900,445
20,60,7200,6,5,2006,1262,1262,0,0,1262,0,2006,2,572,2006,185000,447
60,168,23257,7,5,2006,868,887,1134,0,2021,1,2006,2,422,2006,274725,448
70,51,9842,5,6,1921,612,990,1611,0,2601,0,1998,2,621,2008,189000,450
20,60,7200,5,8,1950,864,864,0,0,864,0,1980,2,720,2007,129000,451
90,75,9750,5,6,1965,1625,1625,0,0,1625,0,1965,2,484,2008,140500,452
30,56,8960,5,6,1927,1008,1028,0,0,1028,1,1927,2,360,2010,115000,453
50,75,12508,6,7,1940,983,983,767,0,1750,0,1989,1,423,2008,160000,456
20,100,10175,6,5,1964,1425,1425,0,0,1425,1,1964,2,576,2008,180500,457
20,84,7476,5,7,1968,1040,1040,0,0,1040,0,1991,2,686,2007,145000,458
60,82,9709,8,5,2007,918,958,1142,0,2100,2,2007,3,786,2007,319500,459
20,102,11660,6,5,2006,1326,1326,0,0,1326,0,2006,2,427,2006,174190,464
20,80,8000,5,5,1960,1377,1377,0,0,1377,2,1965,1,351,2007,156500,465
50,51,6120,5,6,1926,756,903,378,0,1281,0,1926,2,379,2007,132500,466
20,100,12000,5,7,1948,924,1122,0,0,1122,0,1948,2,528,2008,147000,467
20,129,16870,8,5,2004,1782,1782,0,0,1782,2,2004,3,932,2009,296000,470
20,71,9353,4,5,1970,864,864,0,0,864,0,1972,1,280,2006,116050,471
160,21,1680,6,5,1972,483,483,504,0,987,1,1972,1,288,2006,94500,473
20,85,13175,6,6,1978,1542,2073,0,0,2073,2,1978,2,500,2010,210000,474
70,78,12168,8,6,1934,965,1940,1254,0,3194,2,1934,2,380,2007,359100,476
20,63,8487,7,5,2004,1500,1500,0,0,1500,0,2004,2,570,2009,190000,482
60,85,10800,8,5,2007,1034,1050,1028,0,2078,1,2008,3,836,2008,339750,483
80,93,10090,7,5,1963,725,1035,616,0,1651,2,1963,1,276,2007,172000,486
60,63,7875,7,5,1996,691,691,862,0,1553,0,1996,2,420,2007,178750,489
90,70,8267,5,5,1958,1604,1604,0,0,1604,0,1958,2,576,2010,135000,490
50,50,8405,4,3,1945,0,1088,441,0,1529,0,1945,1,240,2009,98000,492
20,73,7321,7,5,1999,1339,1358,0,0,1358,0,1999,2,625,2007,204000,494
20,70,9170,5,7,1965,1214,1214,0,0,1214,0,1965,2,461,2007,140000,496
30,80,13360,5,7,1921,876,964,0,0,964,0,1921,2,432,2009,163500,497
60,60,3378,7,8,1946,651,707,682,0,1389,2,1947,1,240,2009,135000,498
20,140,19138,4,5,1951,864,864,0,0,864,0,1951,2,400,2010,141000,499
180,35,3675,5,5,2005,547,1072,0,0,1072,0,2005,2,525,2006,145000,502
20,69,8973,5,7,1958,1008,1053,0,0,1053,0,1998,2,750,2006,150000,507
60,70,8749,7,5,2002,840,840,885,0,1725,0,2002,2,550,2009,198500,509
60,110,14257,9,5,2007,1776,1794,978,0,2772,3,2007,3,754,2009,462000,510
60,105,13650,8,5,2002,1671,1687,563,0,2250,1,2002,3,756,2010,320000,511
20,88,12216,6,5,2005,1326,1326,0,0,1326,0,2005,2,388,2007,203000,513
20,59,17169,10,5,2007,2320,2290,0,0,2290,1,2007,3,1174,2007,500067,514
20,61,8800,5,7,1977,1040,1040,0,0,1040,0,1977,2,484,2009,150500,515
60,41,12460,7,5,1999,1037,1037,1285,0,2322,1,1999,2,400,2008,225000,516
20,85,6970,4,5,1961,1040,1120,0,0,1120,0,1961,2,544,2007,129000,518
20,42,10331,7,7,1985,1265,1240,0,0,1240,0,1985,2,528,2007,174000,520
60,96,10628,7,5,2004,835,871,941,0,1812,0,2004,2,478,2009,193000,521
20,60,5400,5,5,1958,864,864,0,0,864,0,1958,1,399,2007,118000,522
30,60,8520,5,6,1923,968,968,0,0,968,0,1935,2,480,2007,100000,523
85,85,10625,7,6,1974,1053,1173,0,0,1173,2,1974,2,528,2010,170000,524
20,113,13438,9,5,2008,2190,2036,0,0,2036,1,2008,3,780,2009,410000,525
60,64,8333,7,5,2006,738,738,753,0,1491,1,2006,2,484,2007,168675,526
20,49,15256,8,5,2007,1485,1464,0,0,1464,0,2007,3,754,2007,282922,527
90,72,11072,5,5,1965,1728,1728,0,0,1728,0,1987,2,576,2008,145000,528
20,80,9600,5,8,1950,572,1337,0,0,1337,1,1950,1,264,2008,141500,531
20,75,12890,6,5,1989,1495,1495,0,0,1495,1,1989,2,438,2008,150000,532
20,63,9457,5,6,1970,925,1422,0,0,1422,0,1988,2,576,2007,155000,533
80,65,10482,6,8,1958,588,1138,0,0,1138,0,1958,1,264,2007,145000,536
20,80,10682,4,6,1960,1014,1149,0,0,1149,0,1968,1,544,2009,127000,537
20,64,7406,7,5,2006,1199,1220,0,0,1220,0,2006,2,632,2006,194000,541
20,68,8298,8,5,2006,1546,1564,0,0,1564,1,2207,2,502,2007,267300,543
80,88,15400,5,5,1961,552,904,611,259,1774,1,1961,1,384,2009,165000,547
20,104,14418,9,5,2007,1950,1950,0,0,1950,1,2007,3,706,2008,383000,550
60,68,8935,7,5,2002,831,831,829,0,1660,0,2002,2,493,2009,195000,554
60,65,8125,6,5,1994,702,702,779,0,1481,1,1994,2,343,2009,174000,557
20,80,9600,5,5,1951,1056,1216,0,0,1216,0,1951,1,280,2006,135000,558
50,50,6000,6,6,1939,780,825,587,0,1412,1,1939,1,280,2009,132500,559
70,50,8660,5,6,1900,760,928,928,312,2168,0,1998,2,576,2009,123000,562
60,82,11643,8,5,2005,1524,1544,814,0,2358,1,2005,3,784,2006,329900,563
30,60,6978,5,7,1926,850,960,0,0,960,0,1981,2,576,2007,103000,564
120,50,8012,6,5,1992,1575,1575,0,0,1575,0,1992,2,529,2007,179200,565
20,94,13615,9,5,2006,1802,1802,0,0,1802,1,2006,3,843,2007,372000,568
70,57,9639,4,8,1900,1075,1156,642,0,1798,0,1935,2,342,2007,137000,569
160,24,2645,8,5,1999,970,983,756,0,1739,0,1999,2,480,2009,172500,570
50,40,5680,5,3,1901,969,969,245,0,1214,0,1920,1,216,2007,117000,571
60,106,11194,8,5,2000,1406,1454,482,0,1936,1,2000,2,504,2006,230500,572
20,65,8450,5,6,1968,882,909,0,0,909,0,1968,1,294,2006,116000,576
20,75,12518,5,7,1968,1008,1008,0,0,1008,0,1968,1,384,2009,139500,580
70,66,3960,7,8,1930,502,502,502,0,1004,1,1930,1,200,2006,105000,581
60,105,13693,9,5,2006,2153,2069,574,0,2643,1,2006,3,694,2007,380000,582
120,58,10110,9,5,2008,1858,1866,0,0,1866,1,2008,3,870,2008,336860,584
120,42,4235,5,5,1984,1049,1049,0,0,1049,0,1984,1,266,2009,139500,590
20,85,11128,9,5,2005,2458,2490,0,0,2490,2,2005,3,795,2009,468000,594
80,62,7692,4,6,1954,416,1204,0,0,1204,0,1954,1,312,2008,100000,596
20,38,15240,5,8,1977,1026,1026,0,0,1026,0,1977,1,308,2010,150000,597
60,58,16770,7,5,1998,1195,1195,644,0,1839,0,1998,2,486,2010,221000,598
60,96,11631,8,5,2004,1052,1052,1321,0,2373,1,2004,3,632,2006,258000,600
30,60,10800,4,7,1885,641,1047,0,0,1047,0,1954,1,273,2007,100000,601
20,83,10143,6,7,1963,1380,1380,0,0,1380,0,1963,1,364,2009,154000,603
20,124,27697,4,3,1961,1396,1608,0,0,1608,0,1961,1,444,2007,80000,604
160,36,2448,7,5,2003,764,764,862,0,1626,0,2003,2,474,2008,155000,606
60,79,10646,7,5,2001,858,872,917,0,1789,1,2001,2,546,2008,223000,609
50,60,6000,6,8,1940,720,760,330,0,1090,0,1940,1,240,2008,120000,610
120,41,5748,8,5,2005,1573,1778,0,0,1778,1,2005,2,495,2006,375000,611
